Satisfaction Score,Schedule Pacing,Timestamp,Track,Year,location,week
8,5.0,7/22/2016 12:50:31,Games,2016,SV,5
8,3.0,7/22/2016 14:26:59,Games,2016,SV,5
8,3.0,7/22/2016 14:27:45,Intro,2016,SV,5
8,3.0,7/22/2016 12:45:12,Intro,2016,SV,5
10,3.0,7/22/2016 13:00:34,Intro,2016,SV,5
8,3.0,7/22/2016 14:40:12,Intro,2016,SV,5
8,3.0,7/22/2016 12:44:15,Intro,2016,SV,5
10,3.0,7/22/2016 12:45:16,Intro,2016,SV,5
8,4.0,7/22/2016 12:49:41,Intro,2016,SV,5
8,2.0,7/22/2016 12:52:37,Intro,2016,SV,5
10,3.0,7/22/2016 12:52:51,Intro,2016,SV,5
6,5.0,7/22/2016 15:24:21,Games,2016,SV,5
10,2.0,7/22/2016 15:54:08,Games,2016,SV,5
6,3.0,7/22/2016 15:24:25,Games,2016,SV,5
10,3.0,7/22/2016 12:45:22,Games,2016,SV,5
10,3.0,7/22/2016 14:04:51,Games,2016,SV,5
8,3.0,7/15/2016 2:45:00,Unknown,2016,SG,4
8,4.0,7/15/2016 2:45:11,Unknown,2016,SG,4
6,3.0,7/15/2016 2:48:37,Unknown,2016,SG,4
8,3.0,7/15/2016 2:53:18,Unknown,2016,SG,4
6,4.0,7/15/2016 2:56:09,Unknown,2016,SG,4
8,3.0,7/15/2016 4:37:33,Unknown,2016,SG,4
8,3.0,7/15/2016 19:59:23,Unknown,2016,SG,4
6,4.0,7/15/2016 20:46:14,Unknown,2016,SG,4
8,3.0,7/17/2016 19:06:22,Unknown,2016,SG,4
4,2.0,7/29/2016 6:54:22,Apps,2016,NY,6
8,3.0,7/29/2016 6:55:40,Apps,2016,NY,6
8,4.0,7/29/2016 7:26:56,Apps,2016,NY,6
10,3.0,7/29/2016 9:46:08,Apps,2016,NY,6
10,3.0,7/29/2016 11:17:08,Games,2016,NY,6
8,3.0,7/29/2016 13:11:59,Intro,2016,NY,6
6,3.0,7/29/2016 13:13:36,Apps,2016,NY,6
